"Date","Years","Months","Lake","Specie","Value"
"6/23/2014",2014,6,"KBS","TP","0.1"
"7/21/2014",2014,7,"KBS","TP","0.11"
"8/18/2014",2014,8,"KBS","TP","0.12"
"9/15/2014",2014,9,"KBS","TP","0.1"
"10/13/2014",2014,10,"KBS","TP","0.1"
"11/10/2014",2014,11,"KBS","TP","0.12"
"12/8/2014",2014,12,"KBS","TP","0.09"
"NaN",2015,1,"KBS","TP","NaN"
"NaN",2015,2,"KBS","TP","NaN"
"NaN",2015,3,"KBS","TP","NaN"
"4/1/2015",2015,4,"KBS","TP","0.12"
"5/20/2015",2015,5,"KBS","TP","0.06"
"6/17/2015",2015,6,"KBS","TP","0.05"
"7/15/2015",2015,7,"KBS","TP","0.07"
"8/12/2015",2015,8,"KBS","TP","0.09"
"9/2/2015",2015,9,"KBS","TP","0.12"
"10/7/2015",2015,10,"KBS","TP","0.09"
"11/4/2015",2015,11,"KBS","TP","0.12"
"12/2/2015",2015,12,"KBS","TP","0.12"
"NaN",2016,1,"KBS","TP","NaN"
"NaN",2016,2,"KBS","TP","NaN"
"3/16/2016",2016,3,"KBS","TP","0.13"
"4/30/2016",2016,4,"KBS","TP","0.04"
"5/24/2016",2016,5,"KBS","TP","0.04"
"6/22/2016",2016,6,"KBS","TP","0.04"
"7/13/2016",2016,7,"KBS","TP","0.04"
"8/10/2016",2016,8,"KBS","TP","0.07"
"9/7/2016",2016,9,"KBS","TP","0.1"
"10/19/2016",2016,10,"KBS","TP","0.12"
"11/9/2016",2016,11,"KBS","TP","0.12"
"NaN",2016,12,"KBS","TP","NaN"
"NaN",2017,1,"KBS","TP","NaN"
"NaN",2017,2,"KBS","TP","NaN"
"3/22/2017",2017,3,"KBS","TP","0.1"
"4/26/2017",2017,4,"KBS","TP","0.07"
"5/30/2017",2017,5,"KBS","TP","0.05"
"6/28/2017",2017,6,"KBS","TP","0.08"
"7/30/2017",2017,7,"KBS","TP","0.09"
"8/24/2017",2017,8,"KBS","TP","0.08"
"9/20/2017",2017,9,"KBS","TP","0.07"
"10/18/2017",2017,10,"KBS","TP","0.09"
"11/14/2017",2017,11,"KBS","TP","0.1"
"12/6/2017",2017,12,"KBS","TP","0.1"
"NaN",2018,1,"KBS","TP","NaN"
"NaN",2018,2,"KBS","TP","NaN"
"NaN",2018,3,"KBS","TP","NaN"
"4/26/2018",2018,4,"KBS","TP","0.09"
"5/22/2018",2018,5,"KBS","TP","0.09"
"6/26/2018",2018,6,"KBS","TP","0.06"
"7/30/2018",2018,7,"KBS","TP","0.08"
"8/22/2018",2018,8,"KBS","TP","0.16"
"9/19/2018",2018,9,"KBS","TP","0.13"
"10/10/2018",2018,10,"KBS","TP","0.08"
"11/28/2018",2018,11,"KBS","TP","0.11"
"NaN",2018,12,"KBS","TP","NaN"
"NaN",2019,1,"KBS","TP","NaN"
"NaN",2019,2,"KBS","TP","NaN"
"NaN",2019,3,"KBS","TP","NaN"
"4/23/2019",2019,4,"KBS","TP","0.06"
"5/22/2019",2019,5,"KBS","TP","0.04"
"6/26/2019",2019,6,"KBS","TP","0.04"
"7/24/2019",2019,7,"KBS","TP","0.04"
"8/21/2019",2019,8,"KBS","TP","0.07"
"9/18/2019",2019,9,"KBS","TP","0.06"
"10/23/2019",2019,10,"KBS","TP","0.08"
"NaN",2019,11,"KBS","TP","NaN"
"12/11/2019",2019,12,"KBS","TP","0.06"
"1/24/2000",2000,1,"IBS","TP","0.03"
"2/21/2000",2000,2,"IBS","TP","0.02"
"3/20/2000",2000,3,"IBS","TP","0.02"
"4/19/2000",2000,4,"IBS","TP","0.02"
"5/15/2000",2000,5,"IBS","TP","0.01"
"6/14/2000",2000,6,"IBS","TP","0.02"
"7/12/2000",2000,7,"IBS","TP","0.03"
"8/9/2000",2000,8,"IBS","TP","0.04"
"9/6/2000",2000,9,"IBS","TP","0.04"
"10/18/2000",2000,10,"IBS","TP","0.04"
"11/15/2000",2000,11,"IBS","TP","0.02"
"12/11/2000",2000,12,"IBS","TP","0.02"
"1/29/2001",2001,1,"IBS","TP","0.02"
"2/19/2001",2001,2,"IBS","TP","0.02"
"3/19/2001",2001,3,"IBS","TP","0.04"
"4/17/2001",2001,4,"IBS","TP","0.03"
"5/14/2001",2001,5,"IBS","TP","0.02"
"6/11/2001",2001,6,"IBS","TP","0.02"
"7/9/2001",2001,7,"IBS","TP","0.02"
"8/6/2001",2001,8,"IBS","TP","0.04"
"9/3/2001",2001,9,"IBS","TP","0.03"
"10/15/2001",2001,10,"IBS","TP","0.03"
"11/13/2001",2001,11,"IBS","TP","0.04"
"12/10/2001",2001,12,"IBS","TP","0.03"
"1/21/2002",2002,1,"IBS","TP","0.03"
"2/18/2002",2002,2,"IBS","TP","0.03"
"3/18/2002",2002,3,"IBS","TP","0.02"
"4/15/2002",2002,4,"IBS","TP","0.02"
"5/13/2002",2002,5,"IBS","TP","0.02"
"6/10/2002",2002,6,"IBS","TP","0.02"
"7/8/2002",2002,7,"IBS","TP","0.02"
"8/5/2002",2002,8,"IBS","TP","0.04"
"9/2/2002",2002,9,"IBS","TP","0.04"
"10/15/2002",2002,10,"IBS","TP","0.04"
"11/11/2002",2002,11,"IBS","TP","0.04"
"12/9/2002",2002,12,"IBS","TP","0.05"
"1/20/2003",2003,1,"IBS","TP","0.05"
"2/17/2003",2003,2,"IBS","TP","0.04"
"3/17/2003",2003,3,"IBS","TP","0.03"
"4/28/2003",2003,4,"IBS","TP","0.03"
"5/26/2003",2003,5,"IBS","TP","0.02"
"6/23/2003",2003,6,"IBS","TP","0.02"
"7/23/2003",2003,7,"IBS","TP","0.04"
"8/18/2003",2003,8,"IBS","TP","0.04"
"9/15/2003",2003,9,"IBS","TP","0.03"
"10/13/2003",2003,10,"IBS","TP","0.04"
"11/10/2003",2003,11,"IBS","TP","0.03"
"12/8/2003",2003,12,"IBS","TP","0.03"
"1/19/2004",2004,1,"IBS","TP","0.03"
"2/16/2004",2004,2,"IBS","TP","0.02"
"3/15/2004",2004,3,"IBS","TP","0.02"
"4/13/2004",2004,4,"IBS","TP","0.03"
"5/10/2004",2004,5,"IBS","TP","0.03"
"6/7/2004",2004,6,"IBS","TP","0.02"
"7/5/2004",2004,7,"IBS","TP","0.02"
"8/2/2004",2004,8,"IBS","TP","0.02"
"9/13/2004",2004,9,"IBS","TP","0.02"
"10/11/2004",2004,10,"IBS","TP","0.03"
"11/8/2004",2004,11,"IBS","TP","0.08"
"12/6/2004",2004,12,"IBS","TP","0.03"
"NaN",2005,1,"IBS","TP","NaN"
"NaN",2005,2,"IBS","TP","NaN"
"NaN",2005,3,"IBS","TP","NaN"
"4/19/2005",2005,4,"IBS","TP","0.04"
"NaN",2005,5,"IBS","TP","NaN"
"6/13/2005",2005,6,"IBS","TP","0.02"
"7/11/2005",2005,7,"IBS","TP","0.02"
"8/8/2005",2005,8,"IBS","TP","0.03"
"9/5/2005",2005,9,"IBS","TP","0.03"
"10/4/2005",2005,10,"IBS","TP","0.04"
"11/2/2005",2005,11,"IBS","TP","0.04"
"NaN",2005,12,"IBS","TP","NaN"
"NaN",2006,1,"IBS","TP","NaN"
"NaN",2006,2,"IBS","TP","NaN"
"NaN",2006,3,"IBS","TP","NaN"
"NaN",2006,4,"IBS","TP","NaN"
"5/15/2006",2006,5,"IBS","TP","0.03"
"7/10/2006",2006,6,"IBS","TP","0.02"
"8/7/2006",2006,7,"IBS","TP","0.04"
"9/4/2006",2006,8,"IBS","TP","0.05"
"10/4/2006",2006,9,"IBS","TP","0.03"
"3/19/2007",2006,10,"IBS","TP","0.05"
"NaN",2006,11,"IBS","TP","NaN"
"NaN",2006,12,"IBS","TP","NaN"
"NaN",2007,1,"IBS","TP","NaN"
"NaN",2007,2,"IBS","TP","NaN"
"4/16/2007",2007,3,"IBS","TP","0.03"
"5/14/2007",2007,4,"IBS","TP","0.02"
"6/11/2007",2007,5,"IBS","TP","0.02"
"7/9/2007",2007,6,"IBS","TP","0.02"
"8/6/2007",2007,7,"IBS","TP","0.02"
"9/3/2007",2007,8,"IBS","TP","0.02"
"10/1/2007",2007,9,"IBS","TP","0.03"
"10/29/2007",2007,10,"IBS","TP","0.03"
"11/26/2007",2007,11,"IBS","TP","0.03"
"NaN",2007,12,"IBS","TP","NaN"
"NaN",2008,1,"IBS","TP","NaN"
"NaN",2008,2,"IBS","TP","NaN"
"NaN",2008,3,"IBS","TP","NaN"
"4/14/2008",2008,4,"IBS","TP","0.02"
"5/13/2008",2008,5,"IBS","TP","0.02"
"6/9/2008",2008,6,"IBS","TP","0.01"
"7/7/2008",2008,7,"IBS","TP","0.02"
"8/4/2008",2008,8,"IBS","TP","0.04"
"9/1/2008",2008,9,"IBS","TP","0.05"
"10/27/2008",2008,10,"IBS","TP","0.02"
"11/24/2008",2008,11,"IBS","TP","0.02"
"NaN",2008,12,"IBS","TP","NaN"
"NaN",2009,1,"IBS","TP","NaN"
"NaN",2009,2,"IBS","TP","NaN"
"3/30/2009",2009,3,"IBS","TP","0.03"
"4/14/2009",2009,4,"IBS","TP","0.02"
"5/11/2009",2009,5,"IBS","TP","0.02"
"6/8/2009",2009,6,"IBS","TP","0.02"
"7/6/2009",2009,7,"IBS","TP","0.03"
"8/3/2009",2009,8,"IBS","TP","0.05"
"9/28/2009",2009,9,"IBS","TP","0.03"
"10/26/2009",2009,10,"IBS","TP","0.03"
"11/23/2009",2009,11,"IBS","TP","0.03"
"12/14/2009",2009,12,"IBS","TP","0.03"
"NaN",2010,1,"IBS","TP","NaN"
"NaN",2010,2,"IBS","TP","NaN"
"NaN",2010,3,"IBS","TP","NaN"
"4/19/2010",2010,4,"IBS","TP","0.02"
"5/17/2010",2010,5,"IBS","TP","0.02"
"6/14/2010",2010,6,"IBS","TP","0.03"
"7/12/2010",2010,7,"IBS","TP","0.03"
"8/9/2010",2010,8,"IBS","TP","0.05"
"9/6/2010",2010,9,"IBS","TP","0.03"
"10/4/2010",2010,10,"IBS","TP","0.03"
"11/2/2010",2010,11,"IBS","TP","0.02"
"NaN",2010,12,"IBS","TP","NaN"
"NaN",2011,1,"IBS","TP","NaN"
"NaN",2011,2,"IBS","TP","NaN"
"3/14/2011",2011,3,"IBS","TP","0.03"
"4/11/2011",2011,4,"IBS","TP","0.03"
"5/2/2011",2011,5,"IBS","TP","0.02"
"6/8/2011",2011,6,"IBS","TP","0.02"
"7/12/2011",2011,7,"IBS","TP","0.03"
"8/9/2011",2011,8,"IBS","TP","0.03"
"9/6/2011",2011,9,"IBS","TP","0.03"
"10/5/2011",2011,10,"IBS","TP","0.03"
"11/8/2011",2011,11,"IBS","TP","0.03"
"12/6/2011",2011,12,"IBS","TP","0.03"
"NaN",2012,1,"IBS","TP","NaN"
"NaN",2012,2,"IBS","TP","NaN"
"3/19/2012",2012,3,"IBS","TP","0.04"
"4/10/2012",2012,4,"IBS","TP","0.03"
"5/7/2012",2012,5,"IBS","TP","0.02"
"6/4/2012",2012,6,"IBS","TP","0.02"
"7/2/2012",2012,7,"IBS","TP","0.02"
"8/14/2012",2012,8,"IBS","TP","0.03"
"9/11/2012",2012,9,"IBS","TP","0.03"
"10/9/2012",2012,10,"IBS","TP","0.03"
"11/6/2012",2012,11,"IBS","TP","0.02"
"12/4/2012",2012,12,"IBS","TP","0.02"
"NaN",2013,1,"IBS","TP","NaN"
"NaN",2013,2,"IBS","TP","NaN"
"3/19/2013",2013,3,"IBS","TP","0.04"
"4/2/2013",2013,4,"IBS","TP","0.03"
"5/14/2013",2013,5,"IBS","TP","0.04"
"6/12/2013",2013,6,"IBS","TP","0.05"
"7/9/2013",2013,7,"IBS","TP","0.03"
"8/6/2013",2013,8,"IBS","TP","0.04"
"9/3/2013",2013,9,"IBS","TP","0.04"
"10/1/2013",2013,10,"IBS","TP","0.03"
"11/14/2013",2013,11,"IBS","TP","0.02"
"12/9/2013",2013,12,"IBS","TP","0.02"
"NaN",2014,1,"IBS","TP","NaN"
"NaN",2014,2,"IBS","TP","NaN"
"3/17/2014",2014,3,"IBS","TP","0.03"
"4/1/2014",2014,4,"IBS","TP","0.02"
"5/12/2014",2014,5,"IBS","TP","0.02"
"6/10/2014",2014,6,"IBS","TP","0.02"
"7/7/2014",2014,7,"IBS","TP","0.02"
"8/4/2014",2014,8,"IBS","TP","0.04"
"9/16/2014",2014,9,"IBS","TP","0.02"
"10/14/2014",2014,10,"IBS","TP","0.03"
"11/11/2014",2014,11,"IBS","TP","0.02"
"12/9/2014",2014,12,"IBS","TP","0.02"
"NaN",2015,1,"IBS","TP","NaN"
"NaN",2015,2,"IBS","TP","NaN"
"3/25/2015",2015,3,"IBS","TP","0.06"
"4/20/2015",2015,4,"IBS","TP","0.04"
"5/18/2015",2015,5,"IBS","TP","0.02"
"6/15/2015",2015,6,"IBS","TP","0.03"
"7/13/2015",2015,7,"IBS","TP","0.03"
"8/10/2015",2015,8,"IBS","TP","0.03"
"9/7/2015",2015,9,"IBS","TP","0.02"
"10/5/2015",2015,10,"IBS","TP","0.02"
"NaN",2015,11,"IBS","TP","NaN"
"12/7/2015",2015,12,"IBS","TP","0.02"
"NaN",2016,1,"IBS","TP","NaN"
"NaN",2016,2,"IBS","TP","NaN"
"3/14/2016",2016,3,"IBS","TP","0.02"
"4/18/2016",2016,4,"IBS","TP","0.02"
"5/3/2016",2016,5,"IBS","TP","0.02"
"6/13/2016",2016,6,"IBS","TP","0.03"
"7/11/2016",2016,7,"IBS","TP","0.02"
"8/8/2016",2016,8,"IBS","TP","0.03"
"9/5/2016",2016,9,"IBS","TP","0.02"
"10/17/2016",2016,10,"IBS","TP","0.02"
"11/7/2016",2016,11,"IBS","TP","0.02"
"12/5/2016",2016,12,"IBS","TP","0.02"
"NaN",2017,1,"IBS","TP","NaN"
"NaN",2017,2,"IBS","TP","NaN"
"3/20/2017",2017,3,"IBS","TP","0.03"
"4/24/2017",2017,4,"IBS","TP","0.03"
"5/29/2017",2017,5,"IBS","TP","0.02"
"6/26/2017",2017,6,"IBS","TP","0.02"
"7/24/2017",2017,7,"IBS","TP","0.03"
"8/21/2017",2017,8,"IBS","TP","0.03"
"9/18/2017",2017,9,"IBS","TP","0.02"
"10/17/2017",2017,10,"IBS","TP","0.02"
"11/13/2017",2017,11,"IBS","TP","0.03"
"NaN",2017,12,"IBS","TP","NaN"
"NaN",2018,1,"IBS","TP","NaN"
"NaN",2018,2,"IBS","TP","NaN"
"NaN",2018,3,"IBS","TP","NaN"
"4/24/2018",2018,4,"IBS","TP","0.03"
"5/23/2018",2018,5,"IBS","TP","0.02"
"6/27/2018",2018,6,"IBS","TP","0.02"
"7/23/2018",2018,7,"IBS","TP","0.03"
"8/20/2018",2018,8,"IBS","TP","0.03"
"9/17/2018",2018,9,"IBS","TP","0.03"
"10/8/2018",2018,10,"IBS","TP","0.05"
"11/12/2018",2018,11,"IBS","TP","0.02"
"12/3/2018",2018,12,"IBS","TP","0.02"
"NaN",2019,1,"IBS","TP","NaN"
"NaN",2019,2,"IBS","TP","NaN"
"3/25/2019",2019,3,"IBS","TP","0.03"
"4/15/2019",2019,4,"IBS","TP","0.02"
"5/20/2019",2019,5,"IBS","TP","0.02"
"6/24/2019",2019,6,"IBS","TP","0.02"
"7/22/2019",2019,7,"IBS","TP","0.03"
"8/19/2019",2019,8,"IBS","TP","0.03"
"9/16/2019",2019,9,"IBS","TP","0.01"
"10/21/2019",2019,10,"IBS","TP","0.02"
"11/18/2019",2019,11,"IBS","TP","0.03"
"12/9/2019",2019,12,"IBS","TP","0.01"
"1/12/2000",2000,1,"AMS","TP","0.265"
"2/9/2000",2000,2,"AMS","TP","0.21"
"3/8/2000",2000,3,"AMS","TP","0.155"
"4/5/2000",2000,4,"AMS","TP","0.14"
"5/3/2000",2000,5,"AMS","TP","0.0975"
"6/14/2000",2000,6,"AMS","TP","0.23"
"7/12/2000",2000,7,"AMS","TP","0.23"
"8/9/2000",2000,8,"AMS","TP","0.2"
"9/6/2000",2000,9,"AMS","TP","0.245"
"10/4/2000",2000,10,"AMS","TP","0.226666667"
"11/15/2000",2000,11,"AMS","TP","0.125"
"12/11/2000",2000,12,"AMS","TP","0.14"
"1/10/2001",2001,1,"AMS","TP","0.0845"
"2/5/2001",2001,2,"AMS","TP","0.15"
"3/7/2001",2001,3,"AMS","TP","0.18"
"4/4/2001",2001,4,"AMS","TP","0.215"
"5/2/2001",2001,5,"AMS","TP","0.112666667"
"6/11/2001",2001,6,"AMS","TP","0.145"
"7/9/2001",2001,7,"AMS","TP","0.21"
"8/6/2001",2001,8,"AMS","TP","0.225"
"9/3/2001",2001,9,"AMS","TP","0.34"
"10/1/2001",2001,10,"AMS","TP","0.43"
"11/13/2001",2001,11,"AMS","TP","0.084"
"NaN",2001,12,"AMS","TP","NaN"
"NaN",2002,1,"AMS","TP","NaN"
"NaN",2002,2,"AMS","TP","NaN"
"3/4/2002",2002,3,"AMS","TP","0.215099913"
"4/15/2002",2002,4,"AMS","TP","0.185822751"
"5/27/2002",2002,5,"AMS","TP","0.141333056"
"6/10/2002",2002,6,"AMS","TP","0.189948248"
"7/22/2002",2002,7,"AMS","TP","0.216389253"
"8/5/2002",2002,8,"AMS","TP","0.196343149"
"9/2/2002",2002,9,"AMS","TP","0.203304616"
"10/15/2002",2002,10,"AMS","TP","0.159277346"
"11/11/2002",2002,11,"AMS","TP","0.220288509"
"NaN",2002,12,"AMS","TP","NaN"
"NaN",2003,1,"AMS","TP","NaN"
"2/3/2003",2003,2,"AMS","TP","0.174114671"
"3/5/2003",2003,3,"AMS","TP","0.103976386"
"3/31/2003",2003,4,"AMS","TP","0.154684855"
"5/12/2003",2003,5,"AMS","TP","0.208015092"
"6/10/2003",2003,6,"AMS","TP","0.265200692"
"NaN",2003,7,"AMS","TP","NaN"
"8/18/2003",2003,8,"AMS","TP","0.376516478"
"NaN",2003,9,"AMS","TP","NaN"
"10/30/2003",2003,10,"AMS","TP","0.171727346"
"11/10/2003",2003,11,"AMS","TP","0.146267885"
"NaN",2003,12,"AMS","TP","NaN"
"NaN",2004,1,"AMS","TP","NaN"
"NaN",2004,2,"AMS","TP","NaN"
"3/29/2004",2004,3,"AMS","TP","0.104734033"
"4/13/2004",2004,4,"AMS","TP","0.127389136"
"5/10/2004",2004,5,"AMS","TP","0.131014567"
"6/21/2004",2004,6,"AMS","TP","0.141820722"
"7/5/2004",2004,7,"AMS","TP","0.177980844"
"8/2/2004",2004,8,"AMS","TP","0.244612748"
"9/13/2004",2004,9,"AMS","TP","0.205056412"
"10/11/2004",2004,10,"AMS","TP","0.129379821"
"11/4/2004",2004,11,"AMS","TP","0.120325972"
"NaN",2004,12,"AMS","TP","NaN"
"NaN",2005,1,"AMS","TP","NaN"
"NaN",2005,2,"AMS","TP","NaN"
"NaN",2005,3,"AMS","TP","NaN"
"4/4/2005",2005,4,"AMS","TP","0.198763449"
"5/2/2005",2005,5,"AMS","TP","0.133413282"
"6/13/2005",2005,6,"AMS","TP","0.084251797"
"7/11/2005",2005,7,"AMS","TP","0.230747213"
"8/8/2005",2005,8,"AMS","TP","0.230042852"
"9/5/2005",2005,9,"AMS","TP","0.193843291"
"10/4/2005",2005,10,"AMS","TP","0.148337569"
"11/2/2005",2005,11,"AMS","TP","0.144300369"
"NaN",2005,12,"AMS","TP","NaN"
"NaN",2006,1,"AMS","TP","NaN"
"NaN",2006,2,"AMS","TP","NaN"
"NaN",2006,3,"AMS","TP","NaN"
"NaN",2006,4,"AMS","TP","NaN"
"5/15/2006",2006,5,"AMS","TP","0.129678824"
"6/19/2006",2006,6,"AMS","TP","0.147978905"
"7/10/2006",2006,7,"AMS","TP","0.18209772"
"8/7/2006",2006,8,"AMS","TP","0.190747386"
"9/4/2006",2006,9,"AMS","TP","0.191322244"
"10/4/2006",2006,10,"AMS","TP","0.164705291"
"11/27/2006",2006,11,"AMS","TP","0.12"
"NaN",2006,12,"AMS","TP","NaN"
"NaN",2007,1,"AMS","TP","NaN"
"NaN",2007,2,"AMS","TP","NaN"
"3/19/2007",2007,3,"AMS","TP","0.131901627"
"4/16/2007",2007,4,"AMS","TP","0.12382973"
"5/14/2007",2007,5,"AMS","TP","0.197053609"
"6/11/2007",2007,6,"AMS","TP","0.126605152"
"7/9/2007",2007,7,"AMS","TP","0.185904053"
"8/6/2007",2007,8,"AMS","TP","0.176373826"
"9/3/2007",2007,9,"AMS","TP","0.227523143"
"10/29/2007",2007,10,"AMS","TP","0.185662763"
"11/26/2007",2007,11,"AMS","TP","0.356266433"
"NaN",2007,12,"AMS","TP","NaN"
"NaN",2008,1,"AMS","TP","NaN"
"NaN",2008,2,"AMS","TP","NaN"
"NaN",2008,3,"AMS","TP","NaN"
"4/14/2008",2008,4,"AMS","TP","0.110278017"
"5/13/2008",2008,5,"AMS","TP","0.131167496"
"6/9/2008",2008,6,"AMS","TP","0.210306042"
"7/7/2008",2008,7,"AMS","TP","0.335313261"
"8/4/2008",2008,8,"AMS","TP","0.359597878"
"9/1/2008",2008,9,"AMS","TP","0.252122965"
"10/27/2008",2008,10,"AMS","TP","0.139559261"
"11/24/2008",2008,11,"AMS","TP","0.12"
"12/15/2008",2008,12,"AMS","TP","0.082881583"
"NaN",2009,1,"AMS","TP","NaN"
"NaN",2009,2,"AMS","TP","NaN"
"3/16/2009",2009,3,"AMS","TP","0.198218041"
"4/14/2009",2009,4,"AMS","TP","0.064615301"
"5/11/2009",2009,5,"AMS","TP","0.061500077"
"6/8/2009",2009,6,"AMS","TP","0.229991333"
"7/6/2009",2009,7,"AMS","TP","0.185815688"
"8/3/2009",2009,8,"AMS","TP","0.329686047"
"8/31/2009",2009,9,"AMS","TP","0.5056667"
"10/26/2009",2009,10,"AMS","TP","0.214248222"
"11/23/2009",2009,11,"AMS","TP","0.18"
"12/14/2009",2009,12,"AMS","TP","0.174226738"
"NaN",2010,1,"AMS","TP","NaN"
"NaN",2010,2,"AMS","TP","NaN"
"NaN",2010,3,"AMS","TP","NaN"
"4/19/2010",2010,4,"AMS","TP","0.094615981"
"5/17/2010",2010,5,"AMS","TP","0.209694455"
"6/14/2010",2010,6,"AMS","TP","0.101477208"
"7/12/2010",2010,7,"AMS","TP","0.125528535"
"8/9/2010",2010,8,"AMS","TP","0.37169245"
"9/6/2010",2010,9,"AMS","TP","0.231308694"
"10/4/2010",2010,10,"AMS","TP","0.200731503"
"11/2/2010",2010,11,"AMS","TP","0.077185907"
"12/6/2010",2010,12,"AMS","TP","0.083673699"
"NaN",2011,1,"AMS","TP","NaN"
"NaN",2011,2,"AMS","TP","NaN"
"3/14/2011",2011,3,"AMS","TP","0.09475417"
"4/12/2011",2011,4,"AMS","TP","0.112883628"
"5/3/2011",2011,5,"AMS","TP","0.127899436"
"5/31/2011",2011,6,"AMS","TP","0.10606372"
"7/18/2011",2011,7,"AMS","TP","0.21"
"8/2/2011",2011,8,"AMS","TP","0.234028459"
"9/5/2011",2011,9,"AMS","TP","0.251903205"
"10/4/2011",2011,10,"AMS","TP","0.231812543"
"11/7/2011",2011,11,"AMS","TP","0.144096285"
"12/5/2011",2011,12,"AMS","TP","0.145090666"
"NaN",2012,1,"AMS","TP","NaN"
"NaN",2012,2,"AMS","TP","NaN"
"3/19/2012",2012,3,"AMS","TP","0.123290551"
"4/10/2012",2012,4,"AMS","TP","0.128605412"
"5/7/2012",2012,5,"AMS","TP","0.081729279"
"6/4/2012",2012,6,"AMS","TP","0.196954991"
"7/2/2012",2012,7,"AMS","TP","0.446444725"
"8/14/2012",2012,8,"AMS","TP","0.354304379"
"9/11/2012",2012,9,"AMS","TP","0.295496929"
"10/9/2012",2012,10,"AMS","TP","0.163416592"
"11/6/2012",2012,11,"AMS","TP","0.126326751"
"12/4/2012",2012,12,"AMS","TP","0.09865517"
"NaN",2013,1,"AMS","TP","NaN"
"NaN",2013,2,"AMS","TP","NaN"
"3/19/2013",2013,3,"AMS","TP","0.098662416"
"4/2/2013",2013,4,"AMS","TP","0.091367254"
"5/14/2013",2013,5,"AMS","TP","0.111860901"
"6/12/2013",2013,6,"AMS","TP","0.213447232"
"7/9/2013",2013,7,"AMS","TP","0.207879423"
"8/6/2013",2013,8,"AMS","TP","0.273809038"
"9/3/2013",2013,9,"AMS","TP","0.214976426"
"10/1/2013",2013,10,"AMS","TP","0.118193535"
"11/14/2013",2013,11,"AMS","TP","0.088320761"
"12/9/2013",2013,12,"AMS","TP","0.077819024"
"NaN",2014,1,"AMS","TP","NaN"
"NaN",2014,2,"AMS","TP","NaN"
"3/17/2014",2014,3,"AMS","TP","0.068930059"
"4/1/2014",2014,4,"AMS","TP","0.057729594"
"5/12/2014",2014,5,"AMS","TP","0.061033446"
"6/10/2014",2014,6,"AMS","TP","0.090462635"
"7/7/2014",2014,7,"AMS","TP","0.149838695"
"8/4/2014",2014,8,"AMS","TP","0.17820774"
"9/16/2014",2014,9,"AMS","TP","0.152954749"
"10/14/2014",2014,10,"AMS","TP","0.091225813"
"11/11/2014",2014,11,"AMS","TP","0.061343937"
"12/9/2014",2014,12,"AMS","TP","0.059315258"
"NaN",2015,1,"AMS","TP","NaN"
"NaN",2015,2,"AMS","TP","NaN"
"3/23/2015",2015,3,"AMS","TP","0.1"
"4/20/2015",2015,4,"AMS","TP","0.089535047"
"5/18/2015",2015,5,"AMS","TP","0.074590175"
"6/15/2015",2015,6,"AMS","TP","0.079129802"
"7/13/2015",2015,7,"AMS","TP","0.169603771"
"8/10/2015",2015,8,"AMS","TP","0.187336855"
"9/7/2015",2015,9,"AMS","TP","0.308859073"
"10/5/2015",2015,10,"AMS","TP","0.157418346"
"NaN",2015,11,"AMS","TP","NaN"
"12/7/2015",2015,12,"AMS","TP","0.087257344"
"NaN",2016,1,"AMS","TP","NaN"
"NaN",2016,2,"AMS","TP","NaN"
"3/14/2016",2016,3,"AMS","TP","0.129632079"
"4/18/2016",2016,4,"AMS","TP","0.069421992"
"5/3/2016",2016,5,"AMS","TP","0.057582612"
"6/13/2016",2016,6,"AMS","TP","0.167220231"
"7/11/2016",2016,7,"AMS","TP","0.16"
"8/8/2016",2016,8,"AMS","TP","0.359719337"
"9/5/2016",2016,9,"AMS","TP","0.469260241"
"10/17/2016",2016,10,"AMS","TP","0.259568469"
"11/7/2016",2016,11,"AMS","TP","0.13"
"12/5/2016",2016,12,"AMS","TP","0.090098533"
"NaN",2017,1,"AMS","TP","NaN"
"NaN",2017,2,"AMS","TP","NaN"
"3/20/2017",2017,3,"AMS","TP","0.082469556"
"4/24/2017",2017,4,"AMS","TP","0.047028383"
"5/29/2017",2017,5,"AMS","TP","0.079439618"
"6/26/2017",2017,6,"AMS","TP","0.229659666"
"7/24/2017",2017,7,"AMS","TP","0.16"
"8/21/2017",2017,8,"AMS","TP","0.173910793"
"9/18/2017",2017,9,"AMS","TP","0.164797481"
"10/17/2017",2017,10,"AMS","TP","0.107981192"
"11/13/2017",2017,11,"AMS","TP","0.081985566"
"12/4/2017",2017,12,"AMS","TP","0.18376639"
"NaN",2018,1,"AMS","TP","NaN"
"NaN",2018,2,"AMS","TP","NaN"
"NaN",2018,3,"AMS","TP","NaN"
"4/24/2018",2018,4,"AMS","TP","0.10292913"
"5/23/2018",2018,5,"AMS","TP","0.096185922"
"6/25/2018",2018,6,"AMS","TP","0.224336858"
"7/23/2018",2018,7,"AMS","TP","0.160344068"
"8/20/2018",2018,8,"AMS","TP","0.426088333"
"9/17/2018",2018,9,"AMS","TP","0.41357077"
"10/8/2018",2018,10,"AMS","TP","0.183921955"
"11/12/2018",2018,11,"AMS","TP","0.11893412"
"12/3/2018",2018,12,"AMS","TP","0.069976066"
"NaN",2019,1,"AMS","TP","NaN"
"2/25/2019",2019,2,"AMS","TP","0.153616748"
"3/25/2019",2019,3,"AMS","TP","0.09627585"
