"Date","Years","Months","Lake","Specie","Value"
"NaN",2010,2,"GBS","Temp","NaN"
"NaN",2010,3,"GBS","Temp","NaN"
"4/6/2010",2010,4,"GBS","Temp","5.05"
"5/3/2010",2010,5,"GBS","Temp","9.63"
"6/28/2010",2010,6,"GBS","Temp","12.88"
"7/26/2010",2010,7,"GBS","Temp","15.69"
"8/30/2010",2010,8,"GBS","Temp","14.95"
"9/20/2010",2010,9,"GBS","Temp","13.52"
"10/18/2010",2010,10,"GBS","Temp","11.63"
"11/15/2010",2010,11,"GBS","Temp","9.67"
"NaN",2010,12,"GBS","Temp","NaN"
"NaN",2011,1,"GBS","Temp","NaN"
"NaN",2011,2,"GBS","Temp","NaN"
"3/21/2011",2011,3,"GBS","Temp","3.78"
"4/11/2011",2011,4,"GBS","Temp","7.5"
"5/2/2011",2011,5,"GBS","Temp","11.29"
"6/27/2011",2011,6,"GBS","Temp","13.78"
"7/20/2011",2011,7,"GBS","Temp","15.34"
"8/22/2011",2011,8,"GBS","Temp","16.1"
"9/19/2011",2011,9,"GBS","Temp","15.34"
"10/17/2011",2011,10,"GBS","Temp","12.89"
"11/14/2011",2011,11,"GBS","Temp","10.12"
"12/12/2011",2011,12,"GBS","Temp","6.89"
"NaN",2012,1,"GBS","Temp","NaN"
"NaN",2012,2,"GBS","Temp","NaN"
"3/26/2012",2012,3,"GBS","Temp","5.43"
"4/23/2012",2012,4,"GBS","Temp","7.68"
"5/21/2012",2012,5,"GBS","Temp","10.56"
"6/18/2012",2012,6,"GBS","Temp","13.28"
"7/16/2012",2012,7,"GBS","Temp","15"
"8/13/2012",2012,8,"GBS","Temp","15.3"
"9/10/2012",2012,9,"GBS","Temp","15.56"
"10/8/2012",2012,10,"GBS","Temp","13.73"
"11/5/2012",2012,11,"GBS","Temp","10.32"
"12/3/2012",2012,12,"GBS","Temp","7.36"
"NaN",2013,1,"GBS","Temp","NaN"
"NaN",2013,2,"GBS","Temp","NaN"
"3/18/2013",2013,3,"GBS","Temp","2.63"
"4/15/2013",2013,4,"GBS","Temp","4.51"
"5/13/2013",2013,5,"GBS","Temp","8.85"
"6/10/2013",2013,6,"GBS","Temp","12.54"
